,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,description,rw-cat,rw_full,bs,bs_num
0,3,fio-3.23,RandR-16K,0,0,15117120,251943,15746,60002,0,0,0.0,0.0,164,5356,504.419658,124.454813,1.000000%=261,5.000000%=309,10.000000%=342,20.000000%=395,30.000000%=440,40.000000%=473,50.000000%=505,60.000000%=536,70.000000%=569,80.000000%=602,90.000000%=659,95.000000%=700,99.000000%=782,99.500000%=815,99.900000%=880,99.950000%=921,99.990000%=2637,0%=0,0%=0,0%=0,164,5356,504.742086,124.525336,212971,284520,100.000000%,252169.764706,1513.729998,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,1.437289%,2.745828%,944908,0,117,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,47.38%,49.86%,2.12%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandR-16K,RandR,Random Read-only,16K,16384
0,3,fio-3.23,RandR-2M,0,0,333594624,5559539,2714,60004,0,0,0.0,0.0,1720,6912,2943.639136,387.331866,1.000000%=2244,5.000000%=2408,10.000000%=2473,20.000000%=2605,30.000000%=2703,40.000000%=2801,50.000000%=2899,60.000000%=2998,70.000000%=3129,80.000000%=3260,90.000000%=3489,95.000000%=3653,99.000000%=3948,99.500000%=4046,99.900000%=4227,99.950000%=4292,99.990000%=4620,0%=0,0%=0,0%=0,1720,6913,2943.884068,387.33,5226496,5726208,100.000000%,5566154.218487,9056.329393,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,0.170621%,1.533503%,325855,0,91,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,99.17%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandR-2M,RandR,Random Read-only,2M,2097152
0,3,fio-3.23,SeqR-1M,0,0,423051264,7050619,6885,60002,0,0,0.0,0.0,726,4942,1159.44265,94.926577,1.000000%=921,5.000000%=1003,10.000000%=1044,20.000000%=1089,30.000000%=1122,40.000000%=1138,50.000000%=1155,60.000000%=1171,70.000000%=1204,80.000000%=1236,90.000000%=1269,95.000000%=1318,99.000000%=1400,99.500000%=1433,99.900000%=1499,99.950000%=1531,99.990000%=1646,0%=0,0%=0,0%=0,727,4942,1159.657041,94.927794,6721536,7227392,100.000000%,7059163.428571,10186.545412,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,0.317708%,2.095621%,413216,0,101,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,4.81%,95.19%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-1M,SeqR,Sequential Read-only,1M,1048576
0,3,fio-3.23,SeqR-4M,0,0,324132864,5401764,1318,60005,0,0,0.0,0.0,4646,8650,6061.538669,150.738736,1.000000%=5734,5.000000%=5865,10.000000%=5931,20.000000%=5931,30.000000%=5996,40.000000%=5996,50.000000%=6062,60.000000%=6062,70.000000%=6127,80.000000%=6193,90.000000%=6258,95.000000%=6324,99.000000%=6455,99.500000%=6586,99.900000%=7045,99.950000%=7569,99.990000%=8355,0%=0,0%=0,0%=0,4646,8650,6061.806179,150.743744,5172142,5570560,100.000000%,5409064.789916,8638.008944,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,0.080415%,1.573509%,316606,0,99,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqR-4M,SeqR,Sequential Read-only,4M,4194304
0,3,fio-3.23,RandRH-4M,0,0,244752384,4078798,995,60006,0,0,0.0,0.0,4548,15414,6375.085092,605.348216,1.000000%=5210,5.000000%=5537,10.000000%=5668,20.000000%=5865,30.000000%=5996,40.000000%=6193,50.000000%=6324,60.000000%=6455,70.000000%=6651,80.000000%=6848,90.000000%=7176,95.000000%=7438,99.000000%=7962,99.500000%=8159,99.900000%=8716,99.950000%=9895,99.990000%=14221,0%=0,0%=0,0%=0,4548,15414,6375.311669,605.349324,3391488,4767744,100.000000%,4085254.0,32494.845212,61083648,1017959,248,60006,0,0,0.0,0.0,4687,11595,5952.572767,674.961493,1.000000%=5013,5.000000%=5210,10.000000%=5275,20.000000%=5406,30.000000%=5537,40.000000%=5668,50.000000%=5799,60.000000%=5931,70.000000%=6127,80.000000%=6389,90.000000%=6782,95.000000%=7241,99.000000%=8355,99.500000%=8978,99.900000%=9895,99.950000%=10158,99.990000%=11206,0%=0,0%=0,0%=0,4688,11596,5953.131341,674.962147,417792,1630208,100.000000%,1019091.403361,28588.167177,1.994109%,1.627869%,298780,0,80,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.95%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandRH-4M,RandRH,Random Read-heavy 4:1,4M,4194304
0,3,fio-3.23,RandR-4M,0,0,282644480,4710348,1149,60005,0,0,0.0,0.0,5278,12559,6951.71047,452.886544,1.000000%=6062,5.000000%=6258,10.000000%=6389,20.000000%=6586,30.000000%=6717,40.000000%=6782,50.000000%=6914,60.000000%=7045,70.000000%=7176,80.000000%=7307,90.000000%=7569,95.000000%=7766,99.000000%=8224,99.500000%=8454,99.900000%=9109,99.950000%=9371,99.990000%=10027,0%=0,0%=0,0%=0,5278,12561,6951.983276,452.88779,4407296,4857856,100.000000%,4715287.663866,8612.939324,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,0.116662%,1.349324%,276100,0,97,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.99%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandR-4M,RandR,Random Read-only,4M,4194304
0,3,fio-3.23,RandW-4M,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,240476160,4007468,978,60007,0,0,0.0,0.0,4975,22415,7442.988101,891.073673,1.000000%=5799,5.000000%=6193,10.000000%=6455,20.000000%=6717,30.000000%=6979,40.000000%=7176,50.000000%=7372,60.000000%=7503,70.000000%=7766,80.000000%=8093,90.000000%=8585,95.000000%=9109,99.000000%=9895,99.500000%=10289,99.900000%=12124,99.950000%=13697,99.990000%=19529,0%=0,0%=0,0%=0,4976,22416,7443.66039,891.083276,3358720,4300800,100.000000%,4013429.285714,16419.564153,8.780665%,1.280331%,235202,0,73,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.18%,0.82%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandW-4M,RandW,Random Write-only,4M,4194304
0,3,fio-3.23,RandRH-1M,0,0,254374912,4239440,4140,60002,0,0,0.0,0.0,769,9249,1534.867887,303.098704,1.000000%=1011,5.000000%=1122,10.000000%=1187,20.000000%=1269,30.000000%=1335,40.000000%=1417,50.000000%=1482,60.000000%=1564,70.000000%=1662,80.000000%=1794,90.000000%=1957,95.000000%=2072,99.000000%=2310,99.500000%=2408,99.900000%=2637,99.950000%=2768,99.990000%=4882,0%=0,0%=0,0%=0,770,9249,1535.088371,303.098212,3627008,4864000,100.000000%,4246932.436975,37693.745514,63984640,1066375,1041,60002,0,0,0.0,0.0,916,6304,1406.949683,233.200814,1.000000%=1105,5.000000%=1171,10.000000%=1204,20.000000%=1253,30.000000%=1286,40.000000%=1318,50.000000%=1351,60.000000%=1400,70.000000%=1449,80.000000%=1531,90.000000%=1662,95.000000%=1777,99.000000%=2072,99.500000%=2211,99.900000%=4227,99.950000%=4947,99.990000%=5472,0%=0,0%=0,0%=0,916,6304,1407.281152,233.201518,731136,1419264,100.000000%,1067868.504202,16675.642908,2.110200%,1.928742%,311029,0,87,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.71%,92.58%,6.67%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandRH-1M,RandRH,Random Read-heavy 4:1,1M,1048576
0,3,fio-3.23,RandRH-2M,0,0,253995008,4233038,2066,60003,0,0,0.0,0.0,1881,11566,3067.167619,416.111355,1.000000%=2310,5.000000%=2506,10.000000%=2605,20.000000%=2703,30.000000%=2801,40.000000%=2899,50.000000%=2998,60.000000%=3129,70.000000%=3260,80.000000%=3391,90.000000%=3620,95.000000%=3817,99.000000%=4145,99.500000%=4292,99.900000%=4620,99.950000%=5079,99.990000%=9109,0%=0,0%=0,0%=0,1881,11566,3067.399182,416.112262,3681371,4743168,100.000000%,4240149.596639,24901.043793,63721472,1061971,518,60003,0,0,0.0,0.0,2063,7757,2857.13149,393.586637,1.000000%=2310,5.000000%=2441,10.000000%=2506,20.000000%=2572,30.000000%=2637,40.000000%=2703,50.000000%=2768,60.000000%=2834,70.000000%=2932,80.000000%=3096,90.000000%=3325,95.000000%=3588,99.000000%=4177,99.500000%=4423,99.900000%=6193,99.950000%=6782,99.990000%=7176,0%=0,0%=0,0%=0,2063,7757,2857.597071,393.587399,643072,1519616,100.000000%,1063442.714286,21132.812137,2.086024%,1.748944%,310391,0,87,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,97.88%,2.11%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandRH-2M,RandRH,Random Read-heavy 4:1,2M,2097152
0,3,fio-3.23,RandW-16K,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,19365536,322748,20171,60002,0,0,0.0,0.0,159,7443,389.319604,117.628343,1.000000%=205,5.000000%=228,10.000000%=244,20.000000%=276,30.000000%=313,40.000000%=366,50.000000%=395,60.000000%=419,70.000000%=444,80.000000%=473,90.000000%=522,95.000000%=561,99.000000%=667,99.500000%=749,99.900000%=1220,99.950000%=1351,99.990000%=1744,0%=0,0%=0,0%=0,159,7443,389.564701,117.692619,278016,378656,100.000000%,323163.352941,2393.167885,3.294785%,2.535203%,1210457,0,80,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.76%,74.28%,13.48%,0.26%,0.22%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandW-16K,RandW,Random Write-only,16K,16384
0,3,fio-3.23,SeqW-2M,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,231995392,3866332,1887,60004,0,0,0.0,0.0,2280,10730,3887.873731,670.376302,1.000000%=2801,5.000000%=2932,10.000000%=3031,20.000000%=3227,30.000000%=3391,40.000000%=3620,50.000000%=3850,60.000000%=4079,70.000000%=4358,80.000000%=4554,90.000000%=4816,95.000000%=5013,99.000000%=5275,99.500000%=5406,99.900000%=5668,99.950000%=5799,99.990000%=7700,0%=0,0%=0,0%=0,2280,10731,3888.368244,670.390404,3553570,4136960,100.000000%,3873602.789916,14827.208645,8.123738%,1.183301%,226805,0,73,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,56.48%,43.52%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqW-2M,SeqW,Sequential Write-only,2M,2097152
0,3,fio-3.23,SeqBal-4K,0,0,2302096,38366,9591,60002,0,0,0.0,0.0,146,4898,433.472708,125.706896,1.000000%=191,5.000000%=232,10.000000%=264,20.000000%=317,30.000000%=362,40.000000%=403,50.000000%=436,60.000000%=464,70.000000%=497,80.000000%=536,90.000000%=593,95.000000%=634,99.000000%=733,99.500000%=757,99.900000%=831,99.950000%=864,99.990000%=1019,0%=0,0%=0,0%=0,146,4899,433.804708,125.775531,31320,53416,100.000000%,38452.302521,507.571824,2299992,38331,9582,60002,0,0,0.0,0.0,136,5140,391.868189,189.659442,1.000000%=160,5.000000%=183,10.000000%=205,20.000000%=257,30.000000%=317,40.000000%=358,50.000000%=387,60.000000%=419,70.000000%=452,80.000000%=493,90.000000%=552,95.000000%=593,99.000000%=700,99.500000%=757,99.900000%=3227,99.950000%=3883,99.990000%=4620,0%=0,0%=0,0%=0,136,5140,392.229881,189.718228,31056,53280,100.000000%,38412.168067,508.88436,1.897075%,3.483527%,1150635,0,121,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.28%,62.67%,23.45%,0.44%,0.05%,0.09%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqBal-4K,SeqBal,Sequential Balanced 1:1,4K,4096
0,3,fio-3.23,RandWH-2M,0,0,48027648,800407,390,60004,0,0,0.0,0.0,2258,7633,4006.674083,706.981041,1.000000%=2703,5.000000%=2965,10.000000%=3096,20.000000%=3325,30.000000%=3555,40.000000%=3751,50.000000%=3948,60.000000%=4177,70.000000%=4423,80.000000%=4685,90.000000%=4947,95.000000%=5210,99.000000%=5603,99.500000%=5865,99.900000%=6520,99.950000%=6782,99.990000%=7176,0%=0,0%=0,0%=0,2258,7634,4006.904758,706.98272,475136,1150976,100.000000%,801370.352941,17237.432888,193636352,3227057,1575,60004,0,0,0.0,0.0,2186,10702,3740.509056,704.528228,1.000000%=2572,5.000000%=2768,10.000000%=2899,20.000000%=3063,30.000000%=3260,40.000000%=3424,50.000000%=3620,60.000000%=3850,70.000000%=4112,80.000000%=4423,90.000000%=4751,95.000000%=4947,99.000000%=5341,99.500000%=5406,99.900000%=5799,99.950000%=6258,99.990000%=8159,0%=0,0%=0,0%=0,2187,10703,3741.004251,704.535033,2846720,3608576,100.000000%,3231399.798319,19389.772662,6.610808%,2.094509%,236146,0,83,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,63.02%,36.98%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandWH-2M,RandWH,Random Write-heavy 1:4,2M,2097152
0,3,fio-3.23,SeqW-4K,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,5767408,96121,24030,60001,0,0,0.0,0.0,130,9278,328.900124,149.5876,1.000000%=148,5.000000%=164,10.000000%=177,20.000000%=203,30.000000%=236,40.000000%=288,50.000000%=333,60.000000%=366,70.000000%=391,80.000000%=423,90.000000%=473,95.000000%=514,99.000000%=610,99.500000%=659,99.900000%=1630,99.950000%=2703,99.990000%=4489,0%=0,0%=0,0%=0,130,9278,329.169596,149.663661,80382,129440,100.000000%,96289.689076,1179.254448,2.088542%,3.487500%,1441962,0,98,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.07%,60.57%,6.13%,0.10%,0.06%,0.06%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqW-4K,SeqW,Sequential Write-only,4K,4096
0,3,fio-3.23,RandR-1M,0,0,339845120,5663802,5531,60003,0,0,0.0,0.0,701,4979,1443.669088,255.830211,1.000000%=987,5.000000%=1105,10.000000%=1171,20.000000%=1236,30.000000%=1286,40.000000%=1335,50.000000%=1384,60.000000%=1449,70.000000%=1531,80.000000%=1662,90.000000%=1843,95.000000%=1941,99.000000%=2088,99.500000%=2146,99.900000%=2244,99.950000%=2310,99.990000%=2408,0%=0,0%=0,0%=0,702,4979,1443.909869,255.830169,5392384,5865472,100.000000%,5670481.747899,9072.962085,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,0.265622%,2.208727%,331961,0,2128,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,1.14%,95.95%,2.90%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandR-1M,RandR,Random Read-only,1M,1048576
0,3,fio-3.23,RandR-4K,0,0,3699120,61650,15412,60001,0,0,0.0,0.0,157,5434,515.85488,128.491517,1.000000%=257,5.000000%=309,10.000000%=350,20.000000%=407,30.000000%=448,40.000000%=485,50.000000%=514,60.000000%=544,70.000000%=577,80.000000%=618,90.000000%=675,95.000000%=724,99.000000%=798,99.500000%=823,99.900000%=921,99.950000%=1011,99.990000%=2703,0%=0,0%=0,0%=0,157,5434,516.137812,128.535613,50904,73389,100.000000%,61681.655462,611.562955,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,1.240208%,2.498333%,924853,0,95,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,44.39%,51.97%,2.86%,0.04%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandR-4K,RandR,Random Read-only,4K,4096
0,3,fio-3.23,SeqW-1M,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0,0,0.0,0.0,0,0,0.000000%,0.0,0.0,233596928,3893152,3801,60002,0,0,0.0,0.0,902,8988,1942.652648,444.192355,1.000000%=1105,5.000000%=1204,10.000000%=1269,20.000000%=1482,30.000000%=1695,40.000000%=1875,50.000000%=2007,60.000000%=2113,70.000000%=2244,80.000000%=2342,90.000000%=2473,95.000000%=2572,99.000000%=2736,99.500000%=2768,99.900000%=2932,99.950000%=3194,99.990000%=5996,0%=0,0%=0,0%=0,903,8988,1943.008903,444.196226,3526656,4079616,100.000000%,3898084.033613,9744.494966,7.607020%,1.548112%,228281,0,73,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,49.63%,50.26%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SeqW-1M,SeqW,Sequential Write-only,1M,1048576
0,3,fio-3.23,RandWH-1M,0,0,49714176,828541,809,60002,0,0,0.0,0.0,855,3622,1959.123678,424.609909,1.000000%=1138,5.000000%=1269,10.000000%=1368,20.000000%=1531,30.000000%=1712,40.000000%=1859,50.000000%=1990,60.000000%=2113,70.000000%=2211,80.000000%=2342,90.000000%=2473,95.000000%=2605,99.000000%=2932,99.500000%=3031,99.900000%=3293,99.950000%=3358,99.990000%=3489,0%=0,0%=0,0%=0,856,3622,1959.38624,424.617179,583680,1112064,100.000000%,829026.957983,13011.345981,197918720,3298535,3221,60002,0,0,0.0,0.0,849,6222,1825.936753,433.947312,1.000000%=1056,5.000000%=1171,10.000000%=1236,20.000000%=1368,30.000000%=1531,40.000000%=1695,50.000000%=1843,60.000000%=1974,70.000000%=2113,80.000000%=2244,90.000000%=2408,95.000000%=2506,99.000000%=2670,99.500000%=2703,99.900000%=2834,99.950000%=2998,99.990000%=5079,0%=0,0%=0,0%=0,850,6222,1826.270413,433.954141,3014656,3647488,100.000000%,3303630.521008,15178.868262,6.712222%,1.290195%,241975,0,97,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,59.47%,40.28%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RandWH-1M,RandWH,Random Write-heavy 1:4,1M,1048576
