,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth_kb,read_iops,read_runtime_ms,read_slat_min_us,read_slat_max_us,read_slat_mean_us,read_slat_dev_us,read_clat_min_us,read_clat_max_us,read_clat_mean_us,read_clat_dev_us,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_dev_us,read_bw_min_kb,read_bw_max_kb,read_bw_agg_pct,read_bw_mean_kb,read_bw_dev_kb,write_kb,write_bandwidth_kb,write_iops,write_runtime_ms,write_slat_min_us,write_slat_max_us,write_slat_mean_us,write_slat_dev_us,write_clat_min_us,write_clat_max_us,write_clat_mean_us,write_clat_dev_us,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_dev_us,write_bw_min_kb,write_bw_max_kb,write_bw_agg_pct,write_bw_mean_kb,write_bw_dev_kb,cpu_user,cpu_sys,cpu_csw,cpu_mjf,cpu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,description,rw-cat,rw_full,bs,bs_num,nj,iod,read_bw_mean_gb,write_bw_mean_gb
4,3,fio-3.23,RandR-2M-16-1-taskset-cpu-args,0.0,0.0,236474368.0,3940845.0,1924.0,60006.0,0.0,0.0,0.0,0.0,1045.0,746871.0,8311.437362,9704.016531,1.000000%=3588,5.000000%=6520,10.000000%=6848,20.000000%=7241,30.000000%=7438,40.000000%=7503,50.000000%=7569,60.000000%=7634,70.000000%=7766,80.000000%=7897,90.000000%=8159,95.000000%=8454,99.000000%=29753,99.500000%=66846,99.900000%=137363,99.950000%=173015,99.990000%=274726,0%=0,0%=0,0%=0,1045.0,746871.0,8311.476098,9704.0219,442368.0,5419008.0,100.000000%,3942073.008403,62626.445325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.008437%,0.345296%,231013.0,0.0,8359.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.64%,0.58%,96.53%,0.93%,0.63%,0.47%,0.21%,0.01%,0.01%,0.00%,0.00%,0.00%,RandR-2M-16-1,RandR,Random Read-only,2M,2097152,16,1,3.7594537815122604,0.0
9,3,fio-3.23,RandR-2M-32-1-taskset-cpu-args,0.0,0.0,173369344.0,2888622.0,1410.0,60018.0,0.0,0.0,0.0,0.0,1259.0,415515.0,22673.248927,13090.116425,1.000000%=5406,5.000000%=19529,10.000000%=20054,20.000000%=20578,30.000000%=20840,40.000000%=21102,50.000000%=21364,60.000000%=21626,70.000000%=21626,80.000000%=21889,90.000000%=22413,95.000000%=22937,99.000000%=83361,99.500000%=115867,99.900000%=204472,99.950000%=240123,99.990000%=299892,0%=0,0%=0,0%=0,1259.0,415515.0,22673.312562,13090.123277,737280.0,3325952.0,100.000000%,2890776.571429,15552.057305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.005884%,0.139925%,169485.0,0.0,16743.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,0.39%,0.54%,7.32%,89.30%,1.32%,0.63%,0.04%,0.00%,0.00%,0.00%,0.00%,RandR-2M-32-1,RandR,Random Read-only,2M,2097152,32,1,2.7568593706407545,0.0
14,3,fio-3.23,RandR-2M-64-1-taskset-cpu-args,0.0,0.0,141371392.0,2354620.0,1149.0,60040.0,0.0,0.0,0.0,0.0,2139.0,1030050.0,55610.273743,19253.491993,1.000000%=40108,5.000000%=50069,10.000000%=52166,20.000000%=52690,30.000000%=53215,40.000000%=53215,50.000000%=53739,60.000000%=53739,70.000000%=54263,80.000000%=54788,90.000000%=55312,95.000000%=56885,99.000000%=139460,99.500000%=175112,99.900000%=291504,99.950000%=316669,99.990000%=666894,0%=0,0%=0,0%=0,2140.0,1030050.0,55610.359813,19253.494902,1032192.0,2834432.0,100.000000%,2358391.60319,4455.020143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.002994%,0.066722%,138400.0,0.0,33410.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,4.94%,93.25%,1.55%,0.24%,0.01%,0.01%,0.01%,0.00%,RandR-2M-64-1,RandR,Random Read-only,2M,2097152,64,1,2.2491374999904634,0.0
19,3,fio-3.23,RandR-2M-128-1-taskset-cpu-args,0.0,0.0,95543296.0,1589077.0,775.0,60125.0,0.0,0.0,0.0,0.0,72834.0,1338648.0,164658.364364,29585.383248,1.000000%=143654,5.000000%=156237,10.000000%=156237,20.000000%=158334,30.000000%=158334,40.000000%=158334,50.000000%=160432,60.000000%=160432,70.000000%=160432,80.000000%=162529,90.000000%=162529,95.000000%=181403,99.000000%=320864,99.500000%=371195,99.900000%=450887,99.950000%=492830,99.990000%=876609,0%=0,0%=0,0%=0,72835.0,1338648.0,164658.488718,29585.384248,774093.0,2097152.0,100.000000%,1590995.78379,1848.039431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.002796%,0.031861%,94023.0,0.0,66730.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,97.55%,2.40%,0.03%,0.01%,0.01%,0.00%,RandR-2M-128-1,RandR,Random Read-only,2M,2097152,128,1,1.5172918165111542,0.0
24,3,fio-3.23,RandR-2M-16-4-taskset-cpu-args,0.0,0.0,253143040.0,4218628.0,2059.0,60006.0,0.0,0.0,0.0,0.0,1000.0,487589.0,7764.285425,7172.07072,1.000000%=4816,5.000000%=6586,10.000000%=6848,20.000000%=7110,30.000000%=7176,40.000000%=7241,50.000000%=7307,60.000000%=7372,70.000000%=7438,80.000000%=7503,90.000000%=7700,95.000000%=7962,99.000000%=15794,99.500000%=35913,99.900000%=124256,99.950000%=160432,99.990000%=254803,0%=0,0%=0,0%=0,1000.0,487590.0,7764.320213,7172.076911,360448.0,4866048.0,100.000000%,4221289.411765,50390.341606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.013853%,0.382376%,247296.0,0.0,8181.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.37%,97.71%,0.71%,0.44%,0.22%,0.14%,0.01%,0.00%,0.00%,0.00%,0.00%,RandR-2M-16-4,RandR,Random Read-only,2M,2097152,16,4,4.025735294117927,0.0
29,3,fio-3.23,RandR-2M-32-4-taskset-cpu-args,0.0,0.0,199063552.0,3316841.0,1619.0,60016.0,0.0,0.0,0.0,0.0,1143.0,580240.0,19747.672271,12610.648737,1.000000%=8585,5.000000%=17170,10.000000%=17694,20.000000%=18219,30.000000%=18481,40.000000%=18481,50.000000%=18743,60.000000%=18743,70.000000%=19005,80.000000%=19005,90.000000%=19529,95.000000%=20054,99.000000%=70778,99.500000%=108527,99.900000%=187695,99.950000%=248512,99.990000%=308281,0%=0,0%=0,0%=0,1143.0,580240.0,19747.738601,12610.65491,802816.0,4202496.0,100.000000%,3319651.521008,17185.098505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.006874%,0.121229%,194567.0,0.0,4491.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.28%,0.62%,93.97%,3.51%,0.78%,0.52%,0.04%,0.01%,0.00%,0.00%,0.00%,RandR-2M-32-4,RandR,Random Read-only,2M,2097152,32,4,3.1658663950042722,0.0
34,3,fio-3.23,RandR-2M-64-4-taskset-cpu-args,0.0,0.0,103268352.0,1716076.0,837.0,60177.0,0.0,0.0,0.0,0.0,29200.0,699609.0,76166.04809,20686.361989,1.000000%=59506,5.000000%=70778,10.000000%=71827,20.000000%=72876,30.000000%=72876,40.000000%=72876,50.000000%=72876,60.000000%=73924,70.000000%=73924,80.000000%=73924,90.000000%=74973,95.000000%=78118,99.000000%=181403,99.500000%=219152,99.900000%=312475,99.950000%=329252,99.990000%=367001,0%=0,0%=0,0%=0,29200.0,699609.0,76166.113633,20686.366228,778240.0,1896448.0,100.000000%,1725322.576288,3421.601944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.004163%,0.042179%,101173.0,0.0,9369.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,96.27%,2.85%,0.38%,0.01%,0.00%,0.00%,0.00%,RandR-2M-64-4,RandR,Random Read-only,2M,2097152,64,4,1.6453958285217285,0.0
39,3,fio-3.23,RandR-2M-128-4-taskset-cpu-args,0.0,0.0,90912768.0,1512062.0,738.0,60125.0,0.0,0.0,0.0,0.0,1344.0,1318213.0,173024.048496,32691.466328,1.000000%=149946,5.000000%=160432,10.000000%=162529,20.000000%=164626,30.000000%=164626,40.000000%=166723,50.000000%=166723,60.000000%=166723,70.000000%=168820,80.000000%=168820,90.000000%=173015,95.000000%=219152,99.000000%=354418,99.500000%=413138,99.900000%=480247,99.950000%=505413,99.990000%=700448,0%=0,0%=0,0%=0,1344.0,1318213.0,173024.164135,32691.469168,605479.0,2034722.0,100.000000%,1512097.948969,1625.908844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.003134%,0.020224%,89427.0,0.0,14998.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.01%,0.01%,96.84%,3.09%,0.05%,0.01%,0.01%,0.00%,RandR-2M-128-4,RandR,Random Read-only,2M,2097152,128,4,1.4420489778223038,0.0
44,3,fio-3.23,RandR-2M-16-8-taskset-cpu-args,0.0,0.0,219240448.0,3653581.0,1783.0,60007.0,0.0,0.0,0.0,0.0,1071.0,614804.0,8964.954493,8973.831436,1.000000%=2211,5.000000%=7176,10.000000%=7569,20.000000%=7897,30.000000%=8093,40.000000%=8159,50.000000%=8290,60.000000%=8355,70.000000%=8454,80.000000%=8585,90.000000%=8847,95.000000%=9240,99.000000%=31064,99.500000%=64749,99.900000%=135266,99.950000%=175112,99.990000%=270532,0%=0,0%=0,0%=0,1071.0,614804.0,8964.990948,8973.838492,323584.0,4796416.0,100.000000%,3655353.008403,48925.661708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.009479%,0.328728%,214184.0,0.0,2032.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,0.81%,95.56%,1.28%,0.78%,0.45%,0.20%,0.02%,0.01%,0.00%,0.00%,0.00%,RandR-2M-16-8,RandR,Random Read-only,2M,2097152,16,8,3.4860162815122604,0.0
49,3,fio-3.23,RandR-2M-32-8-taskset-cpu-args,0.0,0.0,169342976.0,2821677.0,1377.0,60015.0,0.0,0.0,0.0,0.0,1374.0,659950.0,23211.796652,13232.364847,1.000000%=14090,5.000000%=20316,10.000000%=20840,20.000000%=21364,30.000000%=21626,40.000000%=21889,50.000000%=22151,60.000000%=22151,70.000000%=22413,80.000000%=22675,90.000000%=23199,95.000000%=23461,99.000000%=72876,99.500000%=114819,99.900000%=219152,99.950000%=256901,99.990000%=325058,0%=0,0%=0,0%=0,1375.0,659950.0,23211.853117,13232.369771,708608.0,3317760.0,100.000000%,2823141.563025,13540.741583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.004114%,0.126910%,165550.0,0.0,12166.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.13%,0.33%,3.29%,94.78%,0.73%,0.58%,0.06%,0.01%,0.00%,0.00%,0.00%,RandR-2M-32-8,RandR,Random Read-only,2M,2097152,32,8,2.692357600235939,0.0
54,3,fio-3.23,RandR-2M-64-8-taskset-cpu-args,0.0,0.0,122791936.0,2044930.0,998.0,60047.0,0.0,0.0,0.0,0.0,2173.0,1258122.0,64030.540275,23640.890209,1.000000%=44826,5.000000%=56360,10.000000%=59506,20.000000%=60555,30.000000%=60555,40.000000%=61079,50.000000%=61079,60.000000%=61603,70.000000%=61603,80.000000%=62128,90.000000%=62652,95.000000%=65798,99.000000%=166723,99.500000%=231735,99.900000%=312475,99.950000%=350224,99.990000%=734003,0%=0,0%=0,0%=0,2173.0,1258122.0,64030.680811,23640.89342,729088.0,2523136.0,100.000000%,2048951.227857,4282.376488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000%=0,5.000000%=0,10.000000%=0,20.000000%=0,30.000000%=0,40.000000%=0,50.000000%=0,60.000000%=0,70.000000%=0,80.000000%=0,90.000000%=0,95.000000%=0,99.000000%=0,99.500000%=0,99.900000%=0,99.950000%=0,99.990000%=0,0%=0,0%=0,0%=0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000%,0.0,0.0,0.007419%,0.054064%,120305.0,0.0,8876.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,1.43%,96.05%,2.07%,0.43%,0.01%,0.01%,0.01%,0.00%,RandR-2M-64-8,RandR,Random Read-only,2M,2097152,64,8,1.954032161576271,0.0
